id,lat,lon,year,species
6523353382,56.72159,15.93019,2026,Tremella mesenterica
6523356346,56.72159,15.93019,2026,Russula sardonia
6523357349,56.33217,13.68319,2026,Trichaptum fuscoviolaceum
6523358380,56.61325,16.645,2026,Geastrum quadrifidum
6523358400,56.91212,14.38839,2026,Panaeolus papilionaceus
6523365305,56.16226,12.57178,2026,Diatrypella favacea
6523365396,56.76768,16.36492,2026,Hortiboletus rubellus
6523366309,56.24185,12.84541,2026,Stereum rugosum
6523368334,56.87723,13.53413,2026,Sphaerophorus globosus
6523369317,56.88565,14.80716,2026,Conocybe tenera
6523370311,56.95673,14.79708,2026,Mycetinis alliaceus
6523371381,56.19545,15.27991,2026,Opegrapha vermicellifera
6523373359,56.14194,13.97324,2026,Ganoderma applanatum
6523373383,56.04642,13.32053,2026,Panaeolina foenisecii
6523375406,56.61355,16.64501,2026,Geastrum quadrifidum
6523375410,56.33032,13.67949,2026,Mycena purpureofusca
6523377394,56.69062,13.54907,2026,Umbilicaria polyphylla
6523385312,56.70401,13.01254,2026,Leccinum scabrum
6523385382,56.16226,12.57178,2026,Gymnosporangium cornutum
6523387419,56.04734,13.18964,2026,Leccinum holopus
6523388340,56.03695,13.24722,2026,Fomes fomentarius
6523388358,56.32649,13.58339,2026,Megacollybia platyphylla
6523388420,56.70781,12.9524,2026,Hypogymnia physodes
6523389326,56.34307,13.65972,2026,Marasmius oreades
6523390318,56.84787,13.01622,2026,Lecanora glabrata
6523392351,56.84762,13.01654,2026,Lobaria pulmonaria
6523393304,56.41258,15.99214,2026,Scleroderma citrinum
6523394336,56.87717,13.53458,2026,Sphaerophorus globosus
6523395335,56.66437,12.79305,2026,Mycena galericulata
6523399412,56.36156,14.98624,2026,Hymenoscyphus macroguttatus
6523400381,56.24361,12.85055,2026,Dacryobolus karstenii
6523402310,56.24185,12.84541,2026,Kuehneromyces mutabilis
6523406302,56.24185,12.84541,2026,Rickenella fibula
6523406359,56.3565,14.58853,2026,Clitopilus prunulus
6523406407,56.76122,12.8447,2026,Entoloma viiduense
6523410402,56.8406,13.00399,2026,Arthonia vinosa
6523418390,56.16157,12.5728,2026,Sepedonium laevigatum
6523419302,56.75852,15.89546,2026,Hypholoma lateritium
6523422388,56.06318,12.70138,2026,Dothidella ulmi
6523423400,56.66377,12.79346,2026,Mycena haematopus
6523431380,56.35011,13.68975,2026,Hypholoma fasciculare
6523434408,56.57308,14.11993,2026,Cerioporus varius
6523438333,56.9426,15.80574,2026,Sparassis crispa
6523441344,56.96528,14.36278,2026,Entoloma prunuloides
6523442341,56.72136,14.43007,2026,Protostropharia semiglobata
6523444335,56.32569,13.58282,2026,Clavulina coralloides
6523445340,56.7703,16.36891,2026,Grifola frondosa
6523446417,56.70556,13.09523,2026,Clitopilus prunulus
6523448387,56.91046,14.38726,2026,Inonotus obliquus
6523450384,56.36809,13.66555,2026,Chalciporus piperatus
6523451417,56.77575,12.94973,2026,Thelephora terrestris
6523453394,56.66665,12.7685,2026,Septoria scabiosicola
6523454308,56.91047,14.38388,2026,Calocera cornea
6523455400,56.32983,13.67822,2026,Xerocomellus pruinatus
6523457412,56.9201,12.50706,2026,Russula versicolor
6523460364,56.44368,15.97272,2026,Coprinopsis picacea
6523466312,56.87719,13.53418,2026,Sphaerophorus globosus
6523468314,56.85471,16.26272,2026,Suillus variegatus
6523472329,56.16226,12.57178,2026,
6523475307,56.76476,16.33285,2026,Imleria badia
6523476307,56.71885,15.92625,2026,Armillaria ostoyae
6523476317,56.96194,14.3625,2026,
6523476413,56.31631,14.86805,2026,Hysteropezizella diminuens
6523478409,56.9426,15.80574,2026,Sparassis crispa
6523479301,56.58466,16.57968,2026,Thamnolia vermicularis
6523479359,56.04642,13.32053,2026,Mycena galericulata
6523480308,56.84762,13.01654,2026,Pyrenula nitida
