id,group,lat,lon,year,cycle,score_mlp
6336616499,presence,63.94284,18.83419,2024.0,2010,0.8561359842618307
6336672488,presence,63.94464,18.83278,2024.0,2010,0.933975617090861
6336748386,presence,63.94306,18.8376,2024.0,2010,0.9178788065910339
6336929420,presence,63.94292,18.83487,2024.0,2010,0.8759008844693502
6336954497,presence,63.94262,18.8279,2024.0,2010,0.5764246881008148
6337066380,presence,63.9427,18.83044,2024.0,2010,0.5617068310578665
6337199480,presence,63.94206,18.82704,2024.0,2010,0.3485266665617625
6337343392,presence,63.94423,18.83499,2024.0,2010,0.9102777441342672
4920493518,presence,66.29286,20.69175,2024.0,2010,0.7930078705151876
4920546847,presence,62.01077,14.41986,2024.0,2010,0.7698653936386108
4923132391,presence,66.76492,20.15055,2024.0,2010,0.8855539759000143
4923137514,presence,62.83581,13.42606,2024.0,2010,0.6489652395248413
4923142660,presence,66.75192,20.21624,2024.0,2010,0.9491880138715109
4923208011,presence,64.97188,20.33121,2024.0,2010,0.7451535860697428
4923222839,presence,61.99429,14.44265,2024.0,2010,0.9417087237040201
4923224556,presence,61.99423,14.44489,2024.0,2010,0.9471047719319662
4924521506,presence,65.10273,20.49208,2024.0,2010,0.9192235867182413
4924522325,presence,66.56735,19.98045,2024.0,2010,0.9685652256011963
4924523012,presence,58.96582,15.59365,2024.0,2010,0.8051982124646505
4924526168,presence,64.97225,20.79197,2024.0,2010,0.9075074195861816
4924527370,presence,59.94044,14.9334,2024.0,2010,0.03306131282200416
4924527932,presence,65.10704,20.47692,2024.0,2010,0.9681310653686523
4924530259,presence,65.10327,20.49155,2024.0,2010,0.9465465346972147
4924531422,presence,66.56726,19.97647,2024.0,2010,0.9493943651517233
4924531445,presence,66.57448,20.00958,2024.0,2010,0.9311484297116598
4924532969,presence,61.9361,14.15386,2024.0,2010,0.9324651956558228
4924533802,presence,65.10897,20.47997,2024.0,2010,0.9496973752975464
4924535672,presence,66.52084,20.02708,2024.0,2010,0.8835930228233337
4924535986,presence,66.57467,20.01091,2024.0,2010,0.9496662020683289
4924539550,presence,65.10658,20.47764,2024.0,2010,0.957412600517273
4924542923,presence,63.69294,19.6208,2024.0,2010,0.6671299537022909
4924545012,presence,65.10718,20.47535,2024.0,2010,0.9461497267087301
4924545104,presence,63.68976,19.62369,2024.0,2010,0.6959900061289469
4924545915,presence,61.93615,14.15366,2024.0,2010,0.9296569029490153
4924546410,presence,61.93592,14.15137,2024.0,2010,0.9421255787213644
4924547852,presence,65.79311,20.76354,2024.0,2010,0.7515638470649719
4924554439,presence,63.68649,19.62614,2024.0,2010,0.5191439688205719
4924557323,presence,65.78487,21.66882,2024.0,2010,0.9531788031260172
4924558923,presence,61.09409,14.47197,2024.0,2010,0.8975677887598673
4924560684,presence,63.69242,19.62216,2024.0,2010,0.737708568572998
4924561016,presence,61.93411,14.14452,2024.0,2010,0.9324241081873575
4924561512,presence,61.77443,12.89617,2024.0,2010,0.9366422692934672
4924561850,presence,65.10284,20.49222,2024.0,2010,0.9548580249150594
4924561881,presence,66.56095,19.99095,2024.0,2010,0.8909459511439005
4924561934,presence,63.69291,19.62062,2024.0,2010,0.3291875272989273
4924562105,presence,65.55688,19.41025,2024.0,2010,0.9047715862592062
4924566145,presence,66.5213,20.0138,2024.0,2010,0.9141433040301005
4924569050,presence,61.93476,14.15091,2024.0,2010,0.9180883566538492
4924569446,presence,65.10653,20.47682,2024.0,2010,0.9468234578768412
4924569466,presence,65.12168,20.46872,2024.0,2010,0.9277491569519043
4924571248,presence,64.97598,20.80988,2024.0,2010,0.6322124302387238
4924576616,presence,62.97336,15.71423,2024.0,2010,0.5645121534665426
4924580462,presence,65.09102,20.50699,2024.0,2010,0.9439480900764465
4924581198,presence,65.24575,21.5659,2024.0,2010,0.9697965780893961
4924584238,presence,65.00888,19.69622,2024.0,2010,0.9643258253733317
4924584479,presence,65.09003,20.50395,2024.0,2010,0.9184796611467997
4924585781,presence,66.59123,19.17645,2024.0,2010,0.8515671690305074
4924587684,presence,65.10734,20.48419,2024.0,2010,0.9680916468302408
